collectedAt,content_authors,content_github_stars,content_github_url,content_paper_url,content_published_date,content_title,recordType,schemaVersion,source_name,source_url
2026-08-11T14:04:17.759708,"['Gyuwan Kim', 'Cheoneum Park', 'Tao Yang']",,,https://arxiv.org/abs/2608.07458,2026-08-07T17:51:49Z,CoinRAG: Contextualized Information Nugget KV Cache Reuse for Long-Context RAG,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07458
2026-08-11T14:04:17.760556,"['Xinyi Li', 'Zaishuo Xia', 'Chenjie Hao', 'Yubei Chen']",,,https://arxiv.org/abs/2608.07420,2026-08-07T17:05:44Z,Beyond Myopic World Models: Long-Horizon End-to-End Training for Direct Future Prediction,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07420
2026-08-11T14:04:17.760734,"['Yan Zhou', 'Yue Ouyang', 'Kaiyang Zheng', 'Suncheng Xiang']",,,https://arxiv.org/abs/2608.07429,2026-08-07T17:16:33Z,TEPA: Revoking Stale Memories for Conflict-Robust Language Agents,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07429
2026-08-11T14:04:17.760745,"['Md Tarek Hassan', 'Dmitry Zelenchuk', 'Muhammad Ali Babar Abbasi']",,,https://arxiv.org/abs/2608.07444,2026-08-07T17:28:33Z,RIS-Aided mmWave Localization Under Cross-Link Interference via Beam-Domain ML Fingerprinting,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07444
2026-08-11T14:04:17.760754,"['Xulin Fan', 'Juan Azcarreta', 'Ashutosh Pandey', 'Jesus Alvarez', 'Ke Tan', 'Jacob Donley', 'Ritwik Giri', 'Buye Xu']",,,https://arxiv.org/abs/2608.07423,2026-08-07T17:11:35Z,Cloud-Boosted Low-Compute Multi-Channel Speech Enhancement,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07423
2026-08-11T14:04:17.760763,"['Shibo Gao', 'Chongxiao Wang', 'Chenglong Huang', 'Jie Ma', 'Haolin Shi', 'Fei Ding', 'Jing Li', 'Qiang Lyu', 'Yangyang Liu', 'Yang Liu', 'Jun Liu', 'Linlin Huang', 'Peipei Yang']",,,https://arxiv.org/abs/2608.07417,2026-08-07T17:02:02Z,I Seek You in Videos: Identity-Conditioned Queries for Person-Centric Video Reasoning,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07417
2026-08-11T14:04:17.760771,"['Xin Wang', 'Yingchao Huang', 'Yuhan Su', 'Shanshan Yao', 'Wei Peng']",,,https://arxiv.org/abs/2608.07378,2026-08-07T16:21:00Z,LSEAD: A Privacy-Preserving LLM-Based Speech Analysis Framework for Early Alzheimer's Disease Screening,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07378
2026-08-11T14:04:17.760779,"['Maria-Louisa Wightman', 'Guillaume Bied', 'Tijl De Bie']",,,https://arxiv.org/abs/2608.07367,2026-08-07T16:10:53Z,People Are Not Just Their Countries. Disentangling Social Determinants of LLM Value Alignment Across Europe,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07367
2026-08-11T14:04:17.760786,"['Haoning Wang', 'Mingxun Zhang', 'Chenyue Yu', 'Yingjun Shang', 'Xia Hu', 'Guanchu Wang', 'Na Zou']",,,https://arxiv.org/abs/2608.07346,2026-08-07T15:44:12Z,An End-to-End Agent Auditing Engine,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07346
2026-08-11T14:04:17.760794,"['Jia Wang', 'Jiaming Cai', 'Zunying Hu', 'Zhanjie Wu', 'Jinyuan Liu', 'Hua Cheng', 'Yun Peng']",,,https://arxiv.org/abs/2608.07340,2026-08-07T15:36:53Z,H2AL: Hyperbolic Hierarchy-aware Aggregative Learning for Registration-based Few-shot Medical Image Segmentation,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07340
2026-08-11T14:04:17.760802,"['Yuting Ge', 'Pengju Yang', 'Mingkai Nie']",,,https://arxiv.org/abs/2608.07323,2026-08-07T15:20:24Z,Is SwiGLU's Open Positive Tail Necessary? Evidence from Closed-Tail Gating with MemGLU,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07323
2026-08-11T14:04:17.760809,"['Zichuan Wang', 'Songlin Yang', 'Bo Peng', 'Zhenchen Tang', 'Yang Li', 'Beibei Dong', 'Jing Dong']",,,https://arxiv.org/abs/2608.07302,2026-08-07T14:56:12Z,"Same Attention, Different Truths: Put Logit-Lens over Visual Attention to Detect and Mitigate LVLM Object Hallucination",RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07302
2026-08-11T14:04:17.760816,"['Xinan Dai', 'Wenhao Deng', 'Yidong Shi', 'Tailin Wu', 'Yuchen Yang']",,,https://arxiv.org/abs/2608.07275,2026-08-07T14:34:46Z,A Finite E-Group of Nilpotency Class Three,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07275
2026-08-11T14:04:17.760824,"['Kaela Kokkas', 'Hairong Wang', 'Richard Klein', 'Nazir A. Ismail', 'Natalie Irwin', 'Mohammad Z. Moonsamy', 'Kubendran Naidoo', 'Jeremy Nel', 'Ekene E. Nweke', 'Raveen Parboosing', 'Emmanuel K. Sekyi', 'Rebecca T. van Dorsten', 'Bruce A. Bassett', 'Robert F. Breiman']",,,https://arxiv.org/abs/2608.07250,2026-08-07T14:07:57Z,Artificial Intelligence Can Match Domain Experts in Evidence Extraction and Critical Appraisal of Microbial Oncogenesis Research Publications,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07250
2026-08-11T14:04:17.760834,['Gabriel de Macedo Santos'],,,https://arxiv.org/abs/2608.07251,2026-08-07T14:08:31Z,"Reading Copom's Tone: A Weighted LLM Framework for Hawkish-Dovish Sentiment, Forward Guidance, and Uncertainty",RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07251
2026-08-11T14:04:17.760842,['Vasanth Iyer'],,,https://arxiv.org/abs/2608.07226,2026-08-07T13:41:57Z,Dual-Node NVIDIA DGX Spark over Tailscale: A Remote-Access Testbed for Distributed LLM Training and Cyber-Threat-Intelligence Fine-Tuning,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07226
2026-08-11T14:04:17.760848,"['Zhenchao Wang', 'Xin Chen', 'Luoxi Zhang', 'Min Yang', 'Shiwen Ni']",,,https://arxiv.org/abs/2608.07204,2026-08-07T13:19:40Z,HNR-DAC: Hard-Negative Reranking and Distribution-Aligned Classification for Scientific Claim Verification,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07204
2026-08-11T14:04:17.760874,"['Zhen Liu', 'Wenli Huang', 'Wei Song', 'Yuhan Liu', 'Zhiqin Yang', 'Jingwen Fu']",,,https://arxiv.org/abs/2608.07193,2026-08-07T13:07:40Z,An AI4AI Framework for Visual Token Pruning,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07193
2026-08-11T14:04:17.760883,"['Shentong Mo', 'Guolin Ke']",,,https://arxiv.org/abs/2608.07161,2026-08-07T12:28:45Z,Fluid-DiT: Graph-Free Diffusion Transformers for Fluid Flow Simulations Learning,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07161
2026-08-11T14:04:17.760890,"['Alexandre Bernier', 'Roger Lecomte', 'Jean-Baptiste Michaud']",,,https://arxiv.org/abs/2608.07155,2026-08-07T12:21:17Z,Machine Learning-Based Inter-Crystal Scatter Recovery for Ultra-High Resolution PET Imaging,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07155
2026-08-11T14:04:17.760897,"['Mingxuan Zheng', 'Yujin Zhou', 'Chuxue Cao', 'Boqin Yin', 'Yuyao Zhang', 'Jiapeng Sun', 'Shuaishuai Gong', 'Sirui Han', 'Yike Guo']",,,https://arxiv.org/abs/2608.07449,2026-08-07T17:40:33Z,SkillProx: Self-Evolving Agent Skills via Proximal Textual Gradient Descent,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07449
2026-08-11T14:04:17.760904,"['Zixuan Lan', 'Luzhe Sun', 'Matthew R. Walter', 'Jiawei Zhou']",,,https://arxiv.org/abs/2608.07435,2026-08-07T17:21:04Z,SABRE: Scalable and Automated Benchmarking of VLMs under Stress,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07435
2026-08-11T14:04:17.760911,"['Jiacheng Miao', 'Jin Mu', 'Guanhua Chen', 'James Zou']",,,https://arxiv.org/abs/2608.07437,2026-08-07T17:22:00Z,Fisher-R1: Training LLM Agents for Reliable Hypothesis Testing,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07437
2026-08-11T14:04:17.760917,"['Zhuoliang Xie', 'Ruihao Zheng', 'Xiang Xu', 'Genghui Li', 'Zhengkun Wang']",,,https://arxiv.org/abs/2608.07395,2026-08-07T16:40:03Z,PACE: Primitive-Aware Code Evolution for Automated Algorithm Design,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07395
2026-08-11T14:04:17.760924,"['MY Pitsane', 'Hope Mogale']",,,https://arxiv.org/abs/2608.07440,2026-08-07T17:23:53Z,Blast Radius,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07440
2026-08-11T14:04:17.760931,"['Ruochen Jin', 'Zhanliang Wang', 'Zongyu Dai', 'Jiancong Xiao', 'Bojian Hou']",,,https://arxiv.org/abs/2608.07419,2026-08-07T17:05:10Z,Beyond Post-Hoc Temperature Scaling: Bilevel Optimization for LLM Calibration,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07419
2026-08-11T14:04:17.760938,"['Xindi Wu', 'Sven Elflein', 'James Lucas', 'Olga Russakovsky', 'Laura Leal-Taixé', 'Despoina Paschalidou', 'Jonathan Lorraine', 'Aljoša Ošep']",,,https://arxiv.org/abs/2608.07408,2026-08-07T16:55:57Z,Addressable Memory for Video World Models,RESEARCH_PAPER,1.0,arXiv API,https://arxiv.org/abs/2608.07408
