collectedAt,content_data_employeeCount,content_entityName,recordType,schemaVersion,source_name,source_url
2026-08-11T16:20:57.705203,500,Scale AI,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/scale-ai
2026-08-11T16:20:57.705223,1000,Podium,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/podium
2026-08-11T16:20:57.705233,800,Checkr,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/checkr
2026-08-11T16:20:57.705239,2,Enact,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/enact
2026-08-11T16:20:57.705245,2,Mosaic,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/mosaic-inc
2026-08-11T16:20:57.705251,2,Pacific,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/pacific
2026-08-11T16:20:57.705257,3,Erinys,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/erinys
2026-08-11T16:20:57.705262,3,Marengo,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/marengo
2026-08-11T16:20:57.705268,2,Prodigy Research,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/prodigy-research
2026-08-11T16:20:57.705274,2,Dawn Industries,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/dawn-industries
2026-08-11T16:20:57.705279,2,Hebbian Robotics,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/hebbian-robotics
2026-08-11T16:20:57.705285,4,Audun,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/audun
2026-08-11T16:20:57.705290,3,Neuromorphic,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/neuromorphic
2026-08-11T16:20:57.705296,1,herdr,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/herdr
2026-08-11T16:20:57.705308,1,Jcode,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/jcode
2026-08-11T16:20:57.705313,5,Forward,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/useforward
2026-08-11T16:20:57.705319,1,Click,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/click
2026-08-11T16:20:57.705324,2,Agent FM,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/agent-fm
2026-08-11T16:20:57.705330,0,Riften,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/riften
2026-08-11T16:20:57.705335,3,Qokedas,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/qokedas
2026-08-11T16:20:57.705340,4,Omanta,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/omanta
2026-08-11T16:20:57.705346,2,IMPACT Drones,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/impact-drones
2026-08-11T16:20:57.705351,2,CarSignal,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/carsignal
2026-08-11T16:20:57.705357,,Standard Machines,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/standard-machines
2026-08-11T16:20:57.705362,2,Amorphic Labs,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/amorphic-labs
2026-08-11T16:20:57.705368,2,Vorelios,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/vorelios
2026-08-11T16:20:57.705373,1,Financial Datasets,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/financial-datasets
2026-08-11T16:20:57.705378,4,Verdict Machine,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/verdict-machine
2026-08-11T16:20:57.705384,3,Arbital,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/arbital
2026-08-11T16:20:57.705389,6,Lambda Robotics,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/lambda-robotics
2026-08-11T16:20:57.705395,3,Stoa,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/stoa
2026-08-11T16:20:57.705400,2,Stratum Industries,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/stratum-industries
2026-08-11T16:20:57.705406,5,Luca IQ,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/luca-iq
2026-08-11T16:20:57.705411,4,Trident,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/trident
2026-08-11T16:20:57.705430,4,COACH,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/ai-coach
2026-08-11T16:20:57.705436,2,hiloop,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/hiloop
2026-08-11T16:20:57.705442,1,Executor,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/executor
2026-08-11T16:20:57.705447,2,Atlia,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/atlia
2026-08-11T16:20:57.705456,1,Tracer,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/tracer
2026-08-11T16:20:57.705461,0,Lamb Labs,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/lamb-labs
2026-08-11T16:20:57.705467,2,Dock,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/dock
2026-08-11T16:20:57.705472,2,Decawork,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/decawork
2026-08-11T16:20:57.705477,2,Buildbox,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/buildbox
2026-08-11T16:20:57.705483,2,Wondering,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/wondering
2026-08-11T16:20:57.705488,2,Synapse Semiconductor,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/synapse-semiconductor
2026-08-11T16:20:57.705494,2,Traceforce,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/traceforce
2026-08-11T16:20:57.705499,3,Lumeria,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/lumeria
2026-08-11T16:20:57.705504,8,Zaplar,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/zaplar
2026-08-11T16:20:57.705509,2,Gamgee,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/gamgee
2026-08-11T16:20:57.705515,1,Palisade,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/palisade-2
2026-08-11T16:20:57.705520,2,Maingen,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/maingen
2026-08-11T16:20:57.705525,2,Proprio Robotics,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/proprio-robotics
2026-08-11T16:20:57.705530,2,Computable,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/computable
2026-08-11T16:20:57.705536,2,Orvixo,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/orvixo
2026-08-11T16:20:57.705541,2,Olam Labs,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/olam-labs
2026-08-11T16:20:57.705547,4,Last Accounting Company,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/last-accounting-company
2026-08-11T16:20:57.705552,2,Vendo,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/vendo
2026-08-11T16:20:57.705557,2,rekursiv.ai,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/rekursivai
2026-08-11T16:20:57.705563,2,Kebra,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/kebra
2026-08-11T16:20:57.705568,2,Bizmark,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/bizmark
2026-08-11T16:20:57.705573,0,Billow AI Labs,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/billow-ai-labs
2026-08-11T16:20:57.705578,7,Donkey,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/donkey
2026-08-11T16:20:57.705584,3,Daqstra,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/daqstra
2026-08-11T16:20:57.705589,2,Axelrod,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/axelrod
2026-08-11T16:20:57.705594,0,Almanac,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/almanac
2026-08-11T16:20:57.705599,,Rapidfolio,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/rapidfolio
